         NAME (hkl)     dspacing   emin  DarwinWidth
             Si (111)       6.2708   1977.16  259.259
        Si_NIST (111)       6.2714   1976.98  259.225
            Si2 (111)       6.2708   1977.16  259.259
             Ge (111)       6.5325   1897.95  691.239
        Diamond (111)       4.1186   3010.37  128.79
           GaAs (111)       6.5283   1899.17  688.047
           GaSb (111)        7.039   1761.4  817.257
            GaP (111)       6.2937   1969.97  512.41
           InAs (111)       6.9698   1778.88  793.78
            InP (111)       6.7766   1829.6  685.948
           InSb (111)       7.4804   1657.46  898.204
            SiC (111)       5.0206   2469.49  249.092
           NaCl (111)       6.5123   1903.86  49.3421
            CsF (111)       6.9374   1787.17  590.674
            LiF (111)       4.6492   2666.8  130.077
            KCl (111)       7.2665   1706.25  33.4449
           CsCl (001)        14.04   883.078  130.743
             Be (010)       3.9605   3130.51  34.7948
       Graphite (010)       4.2539   2914.59  32.4349
            PET (011)       10.001   1239.77  140.394
          Beryl (010)       15.741   787.657  583.343
            KAP (001)         27.7   447.596  667.417
           RbAP (001)       26.136   474.381  954.392
           TlAP (001)       25.756   481.38  1091.91
      Muscovite (110)       8.9619   1383.46  65.5218
    AlphaQuartz (010)       8.5096   1456.99  177.95
         Copper (111)       4.1742   2970.25  636.213
         LiNbO3 (110)        5.148   2408.4  161.469
       Platinum (111)       4.5313   2736.19  1305.87
           Gold (111)       4.7091   2632.86  1184.53
       Sapphire (110)       4.7581   2605.73  108.771
           LaB6 (001)       8.3054   1492.81  509.276
      LaB6_NIST (001)       8.3138   1491.3  508.394
            KTP (011)       10.967   1130.47  316.286
   AlphaAlumina (110)       4.7588   2605.34  108.715
       Aluminum (111)       4.6761   2651.47  239.563
           Iron (111)       4.1465   2990.07  531.189
       Titanium (010)       5.1095   2426.52  223.264
           YB66 (200)        23.44   528.943  67.3796
