         NAME (hkl)     2*dspacing   emin  DarwinWidth
            ADP (011)       10.658   1163.35  323.598
           AlAs (111)       6.5377   1896.45  521.117
          AlFe3 (111)       6.6973   1851.27  220.38
            AlN (010)         6.22   1993.32  237.593
            AlP (111)       6.3024   1967.27  216.6
       alpha-Fe (011)       4.0537   3058.54  493.256
           AlSb (111)       7.0847   1750.04  699.235
      Aluminium (111)       4.6758   2651.59  239.571
         BaTiO3 (001)        8.062   1537.88  308.322
          Beril (001)       18.379   674.59  109.798
      Beryllium (010)        4.574   2710.63  43.3288
    Bismuth-fcc (001)       13.132   944.125  1178.08
Bismuth-primitive (001)       7.9849   1552.73  144.899
Black_Phosphorus (111)       5.1255   2418.96  185.74
        C8H5KO4 (010)        26.61   465.934  385.167
        C9H10N2 (011)       14.357   863.56  122.381
      CaCO3_R3c (011)       11.722   1057.7  100.094
         CaMnO3 (001)        7.458   1662.43  267.825
         CaRuO3 (001)        7.696   1611.02  497.897
            CdS (111)       6.7342   1841.11  681.086
           CdSe (111)       6.9859   1774.77  772.507
           CdTe (111)        7.485   1656.43  891.401
        Co2FeSi (111)       6.5333   1897.73  229.221
        Co2TiSi (111)       6.6314   1869.64  145.462
           CoAs (101)       5.9586   2080.75  171.345
         Copper (111)       4.1742   2970.22  636.209
         Cr2AlC (010)        5.684   2181.28  240.156
           CsCl (001)       8.2464   1503.49  537.407
         CsDSO4 (001)       14.438   858.723  174.142
            CsF (001)       12.016   1031.83  111.531
        CsH2PO4 (001)       9.2964   1333.68  187.504
     Cu2ZnSnSe4 (011)       10.159   1220.49  165.112
          Cu3Au (001)       7.4986   1653.43  442.226
        Diamond (111)       4.1186   3010.36  128.79
         DyScO3 (101)       8.9763   1381.25  104.145
          Fe2As (001)       11.946   1037.87  850.851
       Fe2Mo3O8 (010)       11.546   1073.79  139.743
          Fe3Si (111)       6.5275   1899.41  229.202
          FeBO3 (110)       6.5354   1897.13  252.183
           FeRh (001)         5.98   2073.31  254.769
           FeSi (001)         5.54   2237.98  307.512
     Forsterite (101)       7.4451   1665.32  38.1882
     Ga2O3-beta (001)       11.261   1100.96  161.951
           GaAs (111)       6.5278   1899.34  688.11
    gamma-Ga2O3 (111)        9.512   1303.46  491.606
      GaN_cubic (111)       5.2192   2375.52  594.514
      GaN_cubic (111)       5.2192   2375.52  594.514
            GaP (111)       6.2937   1969.97  512.41
           GaSb (111)       7.0392   1761.34  817.235
          Gd2O3 (200)       10.818   1146.09  50.8915
      Gd3Ga5O12 (211)       10.111   1226.28  60.5626
   Gd3Sc2Ga3O12 (211)       10.283   1205.7  65.4153
           GdSb (111)       7.1811   1726.54  58.7683
         GdScO3 (101)       9.0251   1373.77  82.6037
 GeFe_primitive (001)         5.76   2152.5  145.881
      Germanium (111)       6.5331   1897.79  691.18
   Ge_primitive (001)         5.36   2313.14  759.904
           Gold (111)       4.7091   2632.86  1184.53
       Graphite (010)        4.912   2524.11  42.316
           HfO2 (101)       11.127   1114.28  141.47
            HgS (111)        6.757   1834.91  778.954
           HgSe (111)       7.0264   1764.56  875.95
           HgTe (111)        7.462   1661.54  997.731
           InAs (111)       6.9956   1772.31  791.002
            InN (010)         7.08   1751.19  601.337
            InP (111)       6.7766   1829.6  685.948
           InSb (111)       7.4812   1657.28  898.124
       Iron-bcc (011)       4.0531   3058.97  493.288
            KAP (001)         27.7   447.596  460.658
            KCl (001)       12.586   985.106  189.915
            KDP (011)       10.173   1218.77  128.274
        KTiOPO4 (011)        10.96   1131.22  316.478
La(.5)Sr(1.5)MnO4 (011)       7.3774   1680.58  58.1483
La(.7)Sr(.3)MnO3 (110)       7.7909   1591.4  868.738
La2CuO4_tetragonal (011)       7.3667   1683.03  229.651
       La2O3cub (200)       11.414   1086.25  118.428
       La2O3hex (010)        7.878   1573.8  526.164
         LaAlO3 (001)        7.582   1635.24  522.454
         LaCuO3 (001)        7.788   1591.99  174.673
   LaFeO3_cubic (001)        7.864   1576.6  229.716
   LaFeO3_cubic (001)        7.864   1576.6  229.716
         LaMnO3 (001)         7.76   1597.73  257.733
   LaNiO3_cubic (001)        7.712   1607.68  200.452
   LaNiO3_cubic (001)        7.712   1607.68  200.452
           Lead (111)       5.7167   2168.81  746.735
        Li2B4O7 (200)        9.475   1308.54  70.3517
            LiF (001)       8.0552   1539.18  162.115
            LiH (111)       4.7227   2625.27  33.7008
         LiNbO3 (110)       7.2808   1702.9  330.829
         LiTaO3 (110)       7.2889   1701.01  401.879
     LSAT_cubic (111)       8.9143   1390.85  7.58613
LSAT_tetragonal (011)       8.9279   1388.73  9.24956
       Lu2O3cub (200)       10.358   1196.99  63.2367
         LuPtBi (111)       7.5864   1634.3  621.902
        MgAl2O4 (111)       9.3338   1328.34  254.72
            MgO (111)       4.8636   2549.23  81.9844
           Mica (110)       8.9619   1383.46  65.5218
           MnAs (010)         7.45   1664.22  232.674
    Molybdenite (010)        6.322   1961.15  299.138
           NaCl (001)        11.28   1099.19  206.979
         NaOsO3 (011)       8.7518   1416.68  10.129
         NdGaO3 (101)       8.8846   1395.5  64.7707
         NdScO3 (101)       9.2186   1344.94  92.8107
         Nickel (111)        4.069   3047.01  602.666
  Paratellurite (011)       8.1327   1524.51  213.857
PbMg.24Nb.47Ti.29O3 (001)       8.0276   1544.48  436.282
PbMg.24Nb.48Ti.28O3r (001)       7.9485   1559.84  456.202
PbMg.25Nb.49Ti.26O3h (011)       8.8151   1406.5  1046.52
         PbMoO4 (011)       9.9108   1251  212.22
           PbSe (001)       12.234   1013.44  285.885
           PbTe (001)       12.924   959.333  456.144
         PbTiO3 (001)        8.312   1491.63  543.185
